Index,SMILES,LogP,TPSA
255,O=C(O)CCCCCO,0.6236999999999999,57.53
256,BrCC1CCCO1,1.5602999999999998,9.23
257,CC1=CC(=O)CCC1,1.6857,17.07
258,O=[Si](O)O,-1.6136000000000001,57.53
259,[Ca+2].[O-][O-],-2.7588,46.12
260,[K+].[K+].[SH-],-6.262099999999999,0.0
261,O=POP=O,1.4163999999999999,43.370000000000005
262,Cc1cc(Cl)ccc1O,2.3540200000000007,20.23
263,F.[F-].[NH4+],-2.4673000000000003,36.5
264,C[Ga](C)C,1.3705999999999998,0.0
265,O=C(O)C1CCCCCC1,2.0414000000000003,37.3
266,ClCC=CCCl,2.0202,0.0
267,OCCC1CCCCN1,0.5108999999999997,32.26
268,OC1CCCCCCCCC1,2.8718000000000012,20.23
269,CC1CCC1=O,0.9854,17.07
270,CCC(C)CCC(=O)O,1.8973,37.3
271,C=CCCCCCCC=C,3.6990000000000025,0.0
272,CCCC1CCCCC1,3.3668000000000022,0.0
273,CC(C)(C)c1cccs1,3.045600000000002,0.0
274,CCC(=O)CCC(C)=O,1.3347,34.14
275,Cc1ncnc(C)n1,0.4884399999999999,38.67
276,C=CCc1ccccc1O,2.1207000000000007,20.23
277,C(CC1CO1)C1CO1,0.5642,25.06
278,CCCCC#CCCCC,3.3702000000000023,0.0
279,ClCCNCCBr,1.2097,12.03
280,C=Cc1cc(C)ccc1C,2.9464400000000017,0.0
281,O=CC1CCCCC1,1.7656,17.07
282,Brc1cn[nH]c1,1.1722,28.68
283,C=CCSSCCC,2.9638000000000018,0.0
284,ClCCN1CCCCCC1,2.1012,3.24
285,CC(C)S(=O)C(C)C,1.5519,17.07
286,NN1CCCCC1,0.34599999999999964,29.259999999999998
287,N#Cc1cccc(N)c1,1.14048,49.81
288,CCCCCCCCC#N,3.260580000000002,23.79
289,CCCCCc1ccccn1,2.814300000000001,12.89
290,CCN1C(=O)CCC1=O,0.1553,37.38
291,COc1cccc(Br)c1,2.457700000000001,9.23
292,CCOP(=O)(OCC)SC,2.530500000000001,35.53
293,CCCC1CC1,2.1965000000000003,0.0
294,CC(C)(C)NC=O,0.5308999999999999,29.1
295,CC1CCCC1C,2.442500000000001,0.0
296,CCCC=CCOC(C)=O,1.9058,26.3
297,O=C(O)C1CCN1,-0.5671000000000002,49.33
298,CN1CCCCCC1=O,1.0188,20.310000000000002
299,CCC(C)OCOC(C)CC,2.5741000000000005,18.46
300,CCOC(=O)NC(C)C,1.1409,38.33
301,CC(=O)Nc1nccs1,1.1015,41.99
302,S=C(S)OC1CCCCC1,2.5504000000000007,9.23
303,NCCCCCCCCCCCCN,2.804800000000001,52.04
304,Cc1cccc2c1CCCC2,2.873820000000001,0.0
305,CC1CC(C)C(C)C1,2.6885000000000012,0.0
306,Clc1ncnc(Cl)n1,1.1784,38.67
307,FC(Cl)C(F)(F)F,2.0831,0.0
308,COc1cccc(Cl)c1,2.3486000000000002,9.23
309,OCCCc1cccnc1,1.0065,33.120000000000005
310,CCCCCCC1CO1,2.3556,12.53
311,O=[As]C=CCl,0.7461,17.07
312,ClCc1cccnc1,1.8203999999999998,12.89
313,CSc1ccc(O)cc1C,2.4225200000000005,20.23
314,Brc1cscc1Br,3.2731000000000003,0.0
315,CCOC(=O)CCCCl,1.5685,26.3
316,CCCCc1ccccc1O,2.734800000000002,20.23
317,ClCC1CS1,1.3406,0.0
318,CC(=O)C=C(C)O,1.0372,37.3
319,NCCCNC1CCCCC1,1.2574999999999996,38.05
320,CCC(C#N)C#N,1.0597599999999998,47.58
321,CC=CC(=O)O,0.6471,37.3
322,COP1OCCO1,0.9064999999999999,27.69
323,[O-]n1ccccc1=S,1.5634899999999998,27.99
324,O=c1cccccc1Cl,1.7002,17.07
325,CCCCCCC#CC(N)=O,1.4455,43.09
326,CN(C)c1ncncn1,-0.06240000000000001,41.910000000000004
327,CCC(C)CCC=C(C)C,3.778900000000003,0.0
328,CC(=O)C(C)Cl,1.2026999999999999,17.07
329,CC#CCCCCC#CC,2.593400000000001,0.0
330,CC(CO)Oc1ccccc1,1.4462,29.46
331,O=C(O)CCCCCCl,1.8702,37.3
332,NCCCOCCOCCOCCCN,-0.2661999999999983,79.73
333,CN(CCBr)CCBr,1.708,3.24
334,CCCCCC1(C)OCCO1,2.3297000000000008,18.46
335,CC(C)C1(C)OCCO1,1.4054,18.46
336,C=CC(C)=CC,2.1386000000000003,0.0
337,CC=CCC#N,1.47618,23.79
338,CCc1ccc(C=O)cc1,2.0615,17.07
339,O=C(O)C1CC=CCC1,1.4273,37.3
340,CC=CC#N,1.08608,23.79
341,NN1CCc2ccccc2C1,0.9183999999999999,29.259999999999998
342,C=CC(C)CCCC(C)C,3.634800000000003,0.0
343,NCC1(N)CCCCCC1,0.996799999999999,52.04
344,C=CCCBr,1.9574,0.0
345,C=COCCCCCC,2.726800000000001,9.23
346,BrCCOCCBr,1.7928,9.23
347,CCNC1CCCCC1,1.9286,12.03
348,CC(=O)c1cscc1O,1.6563,37.3
349,NCCNCCCl,-0.22650000000000037,38.05
350,CNC(C)CCC=C(C)C,2.3407,12.03
351,COC(=O)CCCl,0.7882999999999999,26.3
352,CCCC(C)O,1.1673,20.23
